Month number,Year,Month,Vehicle type,Category,Value
4,2008,April,Passenger cars,New registrations Total,317960
4,2008,April,Passenger cars,New registrations German makes incl. group makes,226187
4,2008,April,Passenger cars,New registrations Foreign makes,91773
4,2008,April,Passenger cars,Export,428066
4,2008,April,Passenger cars,Production,579869
4,2008,April,Commercial vehicles,New registrations Total,31814
4,2008,April,Commercial vehicles,New registrations Total CV up to 6t,21878
4,2008,April,Commercial vehicles,New registrations CV up to 2t,2523
4,2008,April,Commercial vehicles,"New registrations CV over 2 to 3,5t",18695
4,2008,April,Commercial vehicles,"New registrations CV over 3,5 to 6t",660
4,2008,April,Commercial vehicles,New registrations Total CV over 6t,9318
4,2008,April,Commercial vehicles,New registrations CV over 6 to 16t,2951
4,2008,April,Commercial vehicles,New registrations CV over 16t,6367
4,2008,April,Commercial vehicles,New registrations Total Buses,618
4,2008,April,Commercial vehicles,Trailer Total,30670
4,2008,April,Commercial vehicles,Trailer - Semitrailers,4594
4,2008,April,Commercial vehicles,Trailer - Caravans,3017
4,2008,April,Commercial vehicles,Export CV up to 6t,23499
4,2008,April,Commercial vehicles,Produktion CV up to 6t,32175
8,2008,August,Passenger cars,New registrations Total,214386
8,2008,August,Passenger cars,New registrations German makes incl. group makes,150030
8,2008,August,Passenger cars,New registrations Foreign makes,64356
8,2008,August,Passenger cars,Export,239186
8,2008,August,Passenger cars,Production,340288
8,2008,August,Commercial vehicles,New registrations Total,25637
8,2008,August,Commercial vehicles,New registrations Total CV up to 6t,17008
8,2008,August,Commercial vehicles,New registrations CV up to 2t,2127
8,2008,August,Commercial vehicles,"New registrations CV over 2 to 3,5t",14320
8,2008,August,Commercial vehicles,"New registrations CV over 3,5 to 6t",561
8,2008,August,Commercial vehicles,New registrations Total CV over 6t,8245
8,2008,August,Commercial vehicles,New registrations CV over 6 to 16t,2305
8,2008,August,Commercial vehicles,New registrations CV over 16t,5940
8,2008,August,Commercial vehicles,New registrations Total Buses,384
8,2008,August,Commercial vehicles,Trailer Total,20370
8,2008,August,Commercial vehicles,Trailer - Semitrailers,2833
8,2008,August,Commercial vehicles,Trailer - Caravans,1468
8,2008,August,Commercial vehicles,Export CV up to 6t,17133
8,2008,August,Commercial vehicles,Produktion CV up to 6t,24331
12,2008,December,Passenger cars,New registrations Total,225981
12,2008,December,Passenger cars,New registrations German makes incl. group makes,162530
12,2008,December,Passenger cars,New registrations Foreign makes,63451
12,2008,December,Passenger cars,Export,225071
12,2008,December,Passenger cars,Production,279948
12,2008,December,Commercial vehicles,New registrations Total,23474
12,2008,December,Commercial vehicles,New registrations Total CV up to 6t,17445
12,2008,December,Commercial vehicles,New registrations CV up to 2t,2003
12,2008,December,Commercial vehicles,"New registrations CV over 2 to 3,5t",14800
12,2008,December,Commercial vehicles,"New registrations CV over 3,5 to 6t",642
12,2008,December,Commercial vehicles,New registrations Total CV over 6t,5393
12,2008,December,Commercial vehicles,New registrations CV over 6 to 16t,2023
12,2008,December,Commercial vehicles,New registrations CV over 16t,3370
12,2008,December,Commercial vehicles,New registrations Total Buses,636
12,2008,December,Commercial vehicles,Trailer Total,11387
12,2008,December,Commercial vehicles,Trailer - Semitrailers,1462
12,2008,December,Commercial vehicles,Trailer - Caravans,448
12,2008,December,Commercial vehicles,Export CV up to 6t,8706
12,2008,December,Commercial vehicles,Produktion CV up to 6t,11065
2,2008,February,Passenger cars,New registrations Total,228623
2,2008,February,Passenger cars,New registrations German makes incl. group makes,157756
2,2008,February,Passenger cars,New registrations Foreign makes,70867
2,2008,February,Passenger cars,Export,410046
2,2008,February,Passenger cars,Production,531397
2,2008,February,Commercial vehicles,New registrations Total,24921
2,2008,February,Commercial vehicles,New registrations Total CV up to 6t,16982
2,2008,February,Commercial vehicles,New registrations CV up to 2t,1948
2,2008,February,Commercial vehicles,"New registrations CV over 2 to 3,5t",14520
2,2008,February,Commercial vehicles,"New registrations CV over 3,5 to 6t",514
2,2008,February,Commercial vehicles,New registrations Total CV over 6t,7612
2,2008,February,Commercial vehicles,New registrations CV over 6 to 16t,2049
2,2008,February,Commercial vehicles,New registrations CV over 16t,5563
2,2008,February,Commercial vehicles,New registrations Total Buses,327
2,2008,February,Commercial vehicles,Trailer Total,20439
2,2008,February,Commercial vehicles,Trailer - Semitrailers,3677
2,2008,February,Commercial vehicles,Trailer - Caravans,1253
2,2008,February,Commercial vehicles,Export CV up to 6t,21558
2,2008,February,Commercial vehicles,Produktion CV up to 6t,28381
1,2008,January,Passenger cars,New registrations Total,220742
1,2008,January,Passenger cars,New registrations German makes incl. group makes,148571
1,2008,January,Passenger cars,New registrations Foreign makes,72171
1,2008,January,Passenger cars,Export,364833
1,2008,January,Passenger cars,Production,475197
1,2008,January,Commercial vehicles,New registrations Total,26533
1,2008,January,Commercial vehicles,New registrations Total CV up to 6t,17855
1,2008,January,Commercial vehicles,New registrations CV up to 2t,1833
1,2008,January,Commercial vehicles,"New registrations CV over 2 to 3,5t",15481
1,2008,January,Commercial vehicles,"New registrations CV over 3,5 to 6t",541
1,2008,January,Commercial vehicles,New registrations Total CV over 6t,8156
1,2008,January,Commercial vehicles,New registrations CV over 6 to 16t,2145
1,2008,January,Commercial vehicles,New registrations CV over 16t,6011
1,2008,January,Commercial vehicles,New registrations Total Buses,522
1,2008,January,Commercial vehicles,Trailer Total,16810
1,2008,January,Commercial vehicles,Trailer - Semitrailers,3745
1,2008,January,Commercial vehicles,Trailer - Caravans,694
1,2008,January,Commercial vehicles,Export CV up to 6t,18540
1,2008,January,Commercial vehicles,Produktion CV up to 6t,25412
7,2008,July,Passenger cars,New registrations Total,262534
7,2008,July,Passenger cars,New registrations German makes incl. group makes,187394
7,2008,July,Passenger cars,New registrations Foreign makes,75140
7,2008,July,Passenger cars,Export,329372
7,2008,July,Passenger cars,Production,434801
7,2008,July,Commercial vehicles,New registrations Total,28728
7,2008,July,Commercial vehicles,New registrations Total CV up to 6t,19841
7,2008,July,Commercial vehicles,New registrations CV up to 2t,2348
7,2008,July,Commercial vehicles,"New registrations CV over 2 to 3,5t",16719
7,2008,July,Commercial vehicles,"New registrations CV over 3,5 to 6t",774
7,2008,July,Commercial vehicles,New registrations Total CV over 6t,8502
7,2008,July,Commercial vehicles,New registrations CV over 6 to 16t,2563
7,2008,July,Commercial vehicles,New registrations CV over 16t,5939
7,2008,July,Commercial vehicles,New registrations Total Buses,385
7,2008,July,Commercial vehicles,Trailer Total,26131
7,2008,July,Commercial vehicles,Trailer - Semitrailers,4138
7,2008,July,Commercial vehicles,Trailer - Caravans,2387
7,2008,July,Commercial vehicles,Export CV up to 6t,19038
7,2008,July,Commercial vehicles,Produktion CV up to 6t,25323
6,2008,June,Passenger cars,New registrations Total,304036
6,2008,June,Passenger cars,New registrations German makes incl. group makes,210873
6,2008,June,Passenger cars,New registrations Foreign makes,93163
6,2008,June,Passenger cars,Export,377861
6,2008,June,Passenger cars,Production,516609
6,2008,June,Commercial vehicles,New registrations Total,30325
6,2008,June,Commercial vehicles,New registrations Total CV up to 6t,21349
6,2008,June,Commercial vehicles,New registrations CV up to 2t,2477
6,2008,June,Commercial vehicles,"New registrations CV over 2 to 3,5t",18210
6,2008,June,Commercial vehicles,"New registrations CV over 3,5 to 6t",662
6,2008,June,Commercial vehicles,New registrations Total CV over 6t,8530
6,2008,June,Commercial vehicles,New registrations CV over 6 to 16t,2755
6,2008,June,Commercial vehicles,New registrations CV over 16t,5775
6,2008,June,Commercial vehicles,New registrations Total Buses,446
6,2008,June,Commercial vehicles,Trailer Total,24818
6,2008,June,Commercial vehicles,Trailer - Semitrailers,4327
6,2008,June,Commercial vehicles,Trailer - Caravans,2163
6,2008,June,Commercial vehicles,Export CV up to 6t,22675
6,2008,June,Commercial vehicles,Produktion CV up to 6t,28591
3,2008,March,Passenger cars,New registrations Total,286549
3,2008,March,Passenger cars,New registrations German makes incl. group makes,191735
3,2008,March,Passenger cars,New registrations Foreign makes,94814
3,2008,March,Passenger cars,Export,368323
3,2008,March,Passenger cars,Production,492336
3,2008,March,Commercial vehicles,New registrations Total,27615
3,2008,March,Commercial vehicles,New registrations Total CV up to 6t,19714
3,2008,March,Commercial vehicles,New registrations CV up to 2t,1976
3,2008,March,Commercial vehicles,"New registrations CV over 2 to 3,5t",17173
3,2008,March,Commercial vehicles,"New registrations CV over 3,5 to 6t",565
3,2008,March,Commercial vehicles,New registrations Total CV over 6t,7401
3,2008,March,Commercial vehicles,New registrations CV over 6 to 16t,2184
3,2008,March,Commercial vehicles,New registrations CV over 16t,5217
3,2008,March,Commercial vehicles,New registrations Total Buses,500
3,2008,March,Commercial vehicles,Trailer Total,23209
3,2008,March,Commercial vehicles,Trailer - Semitrailers,3486
3,2008,March,Commercial vehicles,Trailer - Caravans,2333
3,2008,March,Commercial vehicles,Export CV up to 6t,20836
3,2008,March,Commercial vehicles,Produktion CV up to 6t,27083
5,2008,May,Passenger cars,New registrations Total,275259
5,2008,May,Passenger cars,New registrations German makes incl. group makes,192100
5,2008,May,Passenger cars,New registrations Foreign makes,83159
5,2008,May,Passenger cars,Export,324243
5,2008,May,Passenger cars,Production,444537
5,2008,May,Commercial vehicles,New registrations Total,28791
5,2008,May,Commercial vehicles,New registrations Total CV up to 6t,19698
5,2008,May,Commercial vehicles,New registrations CV up to 2t,2222
5,2008,May,Commercial vehicles,"New registrations CV over 2 to 3,5t",16886
5,2008,May,Commercial vehicles,"New registrations CV over 3,5 to 6t",590
5,2008,May,Commercial vehicles,New registrations Total CV over 6t,8594
5,2008,May,Commercial vehicles,New registrations CV over 6 to 16t,2835
5,2008,May,Commercial vehicles,New registrations CV over 16t,5759
5,2008,May,Commercial vehicles,New registrations Total Buses,499
5,2008,May,Commercial vehicles,Trailer Total,26945
5,2008,May,Commercial vehicles,Trailer - Semitrailers,4149
5,2008,May,Commercial vehicles,Trailer - Caravans,2615
5,2008,May,Commercial vehicles,Export CV up to 6t,19912
5,2008,May,Commercial vehicles,Produktion CV up to 6t,25918
11,2008,November,Passenger cars,New registrations Total,233772
11,2008,November,Passenger cars,New registrations German makes incl. group makes,165193
11,2008,November,Passenger cars,New registrations Foreign makes,68579
11,2008,November,Passenger cars,Export,330174
11,2008,November,Passenger cars,Production,452590
11,2008,November,Commercial vehicles,New registrations Total,25684
11,2008,November,Commercial vehicles,New registrations Total CV up to 6t,18798
11,2008,November,Commercial vehicles,New registrations CV up to 2t,2136
11,2008,November,Commercial vehicles,"New registrations CV over 2 to 3,5t",15962
11,2008,November,Commercial vehicles,"New registrations CV over 3,5 to 6t",700
11,2008,November,Commercial vehicles,New registrations Total CV over 6t,6313
11,2008,November,Commercial vehicles,New registrations CV over 6 to 16t,2429
11,2008,November,Commercial vehicles,New registrations CV over 16t,3884
11,2008,November,Commercial vehicles,New registrations Total Buses,573
11,2008,November,Commercial vehicles,Trailer Total,14915
11,2008,November,Commercial vehicles,Trailer - Semitrailers,2062
11,2008,November,Commercial vehicles,Trailer - Caravans,651
11,2008,November,Commercial vehicles,Export CV up to 6t,12467
11,2008,November,Commercial vehicles,Produktion CV up to 6t,18562
10,2008,October,Passenger cars,New registrations Total,258814
10,2008,October,Passenger cars,New registrations German makes incl. group makes,187041
10,2008,October,Passenger cars,New registrations Foreign makes,71773
10,2008,October,Passenger cars,Export,331041
10,2008,October,Passenger cars,Production,448565
10,2008,October,Commercial vehicles,New registrations Total,28957
10,2008,October,Commercial vehicles,New registrations Total CV up to 6t,20487
10,2008,October,Commercial vehicles,New registrations CV up to 2t,2050
10,2008,October,Commercial vehicles,"New registrations CV over 2 to 3,5t",17660
10,2008,October,Commercial vehicles,"New registrations CV over 3,5 to 6t",777
10,2008,October,Commercial vehicles,New registrations Total CV over 6t,7940
10,2008,October,Commercial vehicles,New registrations CV over 6 to 16t,2845
10,2008,October,Commercial vehicles,New registrations CV over 16t,5095
10,2008,October,Commercial vehicles,New registrations Total Buses,530
10,2008,October,Commercial vehicles,Trailer Total,20778
10,2008,October,Commercial vehicles,Trailer - Semitrailers,3254
10,2008,October,Commercial vehicles,Trailer - Caravans,1006
10,2008,October,Commercial vehicles,Export CV up to 6t,17841
10,2008,October,Commercial vehicles,Produktion CV up to 6t,24756
9,2008,September,Passenger cars,New registrations Total,261384
9,2008,September,Passenger cars,New registrations German makes incl. group makes,183254
9,2008,September,Passenger cars,New registrations Foreign makes,78130
9,2008,September,Passenger cars,Export,403444
9,2008,September,Passenger cars,Production,535893
9,2008,September,Commercial vehicles,New registrations Total,32520
9,2008,September,Commercial vehicles,New registrations Total CV up to 6t,19869
9,2008,September,Commercial vehicles,New registrations CV up to 2t,1846
9,2008,September,Commercial vehicles,"New registrations CV over 2 to 3,5t",17319
9,2008,September,Commercial vehicles,"New registrations CV over 3,5 to 6t",704
9,2008,September,Commercial vehicles,New registrations Total CV over 6t,12185
9,2008,September,Commercial vehicles,New registrations CV over 6 to 16t,3357
9,2008,September,Commercial vehicles,New registrations CV over 16t,8828
9,2008,September,Commercial vehicles,New registrations Total Buses,466
9,2008,September,Commercial vehicles,Trailer Total,23769
9,2008,September,Commercial vehicles,Trailer - Semitrailers,3713
