Material Type,Title,Series,Checkout Year,Checkout Month,Checkouts,Subjects,Publisher,Publication Year
BOOK,#1 Suspect,,2019,8,1,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2019,6,1,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2019,6,2,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2019,5,1,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2019,5,2,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2019,4,1,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2019,3,1,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2019,2,2,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2019,1,1,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2018,12,1,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2018,11,1,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2018,9,1,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2018,7,2,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2018,6,1,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2018,5,1,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2018,3,1,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2018,2,2,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2018,2,1,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2017,10,2,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2017,8,2,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2017,9,1,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2017,5,1,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2017,7,2,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2017,4,1,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2017,2,3,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2017,2,1,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2017,3,1,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2016,10,4,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2016,11,1,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2017,3,1,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2016,12,1,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2016,12,1,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2017,1,1,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,1,40,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,1,12,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,2,13,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,2,37,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,3,39,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,3,16,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,4,12,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,4,41,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,5,36,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,5,12,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,6,38,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,6,11,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,7,13,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,7,32,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,8,8,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,8,30,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,9,8,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,9,31,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,10,7,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,10,33,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,11,27,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,11,7,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,12,30,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2012,12,3,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2013,1,8,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2013,1,22,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2013,2,4,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2013,2,22,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2013,3,8,"Private investigators California Fiction, Private security services California Fiction, Large type books, Mystery fiction","Little, Brown and Co.,",2012
BOOK,#1 Suspect,,2013,3,23,"Private investigators California Fiction, Private security services California Fiction, Mystery fiction","Little, Brown and Co.,",2012
