Eviction ID,Address,City,State,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location
M191809,700 Block Of Gonzalez  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.48059457480959 37.71751346803292)
M191803,700 Block Of Gonzalez  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.48066097526849 37.71741710510966)
M191805,800 Block Of Gonzalez  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.48059457480959 37.71751346803292)
M191790,300 Block Of Gonzalez  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.47657722541055 37.71621109111555)
M191824,600 Block Of Geary  Street,San Francisco,CA,94102,07/29/2019,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,3,Tenderloin,POINT (-122.41399503430975 37.78667901466992)
M191789,500 Block Of Vidal  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.48403138269013 37.715668466094236)
M191804,400 Block Of Serrano  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.48045074948287 37.71901186772143)
M191795,100 Block Of Font  Boulevard,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.47362991995713 37.71554505295899)
M191808,300 Block Of Arballo  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.48306644173614 37.72083184136464)
M191792,700 Block Of Gonzalez  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.48066097526849 37.71741710510966)
M191717,100 Block Of Garces  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.47894377329499 37.71519484575845)
M191820,800 Block Of 38th  Avenue,San Francisco,CA,94121,07/29/2019,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,1,Outer Richmond,POINT (-122.49825084177584 37.77286387142711)
M191786,500 Block Of Gonzalez  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.47885100617513 37.71609926455431)
M191802,400 Block Of Arballo  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.48301251451178 37.71944832748139)
M191819,2300 Block Of Broadway  Street,San Francisco,CA,94123,07/29/2019,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,
M191791,100 Block Of Font  Boulevard,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.47362991995713 37.71554505295899)
M191718,400 Block Of Serrano  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.48045074948287 37.71901186772143)
M191796,500 Block Of Gonzalez  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.47885100617513 37.71609926455431)
M191801,0 Block Of Castelo  Avenue,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.47480896626419 37.71740699668959)
M191836,200 Block Of Saint Charles  Avenue,San Francisco,CA,94132,07/29/2019,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,09/24/2024,7,Oceanview/Merced/Ingleside,POINT (-122.46921045968281 37.709628137484856)
M191793,100 Block Of Font  Boulevard,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.47362991995713 37.71554505295899)
M191797,100 Block Of Font  Boulevard,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.47362991995713 37.71554505295899)
M191799,100 Block Of Font  Boulevard,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.47362991995713 37.71554505295899)
M191788,400 Block Of Arballo  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.48315061797776 37.71945410158369)
M191800,100 Block Of Garces  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.47894377329499 37.71519484575845)
M191794,100 Block Of Font  Boulevard,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.47362991995713 37.71554505295899)
M191787,0 Block Of Bucareli  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.4793742747656 37.71746280191635)
M191822,1000 Block Of Bush  Street,San Francisco,CA,94109,07/29/2019,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,3,Nob Hill,POINT (-122.41456113260082 37.789478817108304)
M191821,1600 Block Of Market  Street,San Francisco,CA,94103,07/29/2019,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,6,Mission,POINT (-122.42218826152258 37.77269482407448)
M191806,300 Block Of Arballo  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.48306644173614 37.72083184136464)
M191807,300 Block Of Arballo  Drive,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.48306644173614 37.72083184136464)
M191798,100 Block Of Cardenas  Avenue,San Francisco,CA,94132,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,POINT (-122.47678150497299 37.71971920585343)
M191823,0 Block Of Guerrero  Street,San Francisco,CA,94103,07/29/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,8,Mission,POINT (-122.42451925171055 37.77031049537245)
M191710,0 Block Of Pueblo  Street,San Francisco,CA,94134,07/26/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,10,Visitacion Valley,POINT (-122.41707571206487 37.7087983077137)
M191712,0 Block Of Pueblo  Street,San Francisco,CA,94134,07/26/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,10,Visitacion Valley,POINT (-122.41707571206487 37.7087983077137)
M191714,3400 Block Of San Bruno  Avenue,San Francisco,CA,94134,07/26/2019,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,10,Visitacion Valley,POINT (-122.40027180992016 37.71819588400532)
M191708,1300 Block Of Larkin  Street,San Francisco,CA,94109,07/26/2019,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,,3,Nob Hill,POINT (-122.41887109162955 37.790317688076655)
M191713,1600 Block Of Market  Street,San Francisco,CA,94103,07/26/2019,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,6,Mission,POINT (-122.42218826152258 37.77269482407448)
M191716,900 Block Of Monterey  Boulevard,San Francisco,CA,94127,07/26/2019,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,,7,West of Twin Peaks,POINT (-122.45706611411929 37.73117288442626)
M191711,0 Block Of Pueblo  Street,San Francisco,CA,94134,07/26/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,10,Visitacion Valley,POINT (-122.41707571206487 37.7087983077137)
M191715,900 Block Of Monterey  Boulevard,San Francisco,CA,94127,07/26/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,West of Twin Peaks,POINT (-122.45706611411929 37.73117288442626)
