Area,Element,Item,Year,Unit,Value,Flag,Flag Description
World,Area harvested,Agave fibres nes,1961,ha,32100,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1962,ha,32990,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1963,ha,34110,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1964,ha,33620,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1965,ha,34320,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1966,ha,35010,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1967,ha,36140,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1968,ha,36950,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1969,ha,36951,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1970,ha,38010,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1971,ha,39105,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1972,ha,41005,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1973,ha,42730,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1974,ha,44737,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1975,ha,59064,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1976,ha,53444,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1977,ha,53636,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1978,ha,53191,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1979,ha,53879,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1980,ha,55510,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1981,ha,54105,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1982,ha,57118,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1983,ha,57841,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1984,ha,49833,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1985,ha,48143,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1986,ha,50510,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1987,ha,54285,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1988,ha,54699,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1989,ha,62121,A,"Aggregate, may include official, semi-official, estimated or calculated data"
World,Area harvested,Agave fibres nes,1990,ha,55943,A,"Aggregate, may include official, semi-official, estimated or calculated data"
