Age group,Applicant type,Domicile,Gender,Reference point,Status,Year,Applicants
17 and under,All,All,All,JCQ+1,All,2012,9280
17 and under,All,All,All,1 day after SQA results day,All,2012,9280
17 and under,All,All,All,JCQ+2,All,2012,9280
17 and under,All,All,All,JCQ+3,All,2012,9280
17 and under,All,All,All,JCQ+4,All,2012,9280
17 and under,All,All,All,JCQ+5,All,2012,9250
17 and under,All,All,All,JCQ+6,All,2012,9240
17 and under,All,All,All,JCQ+7,All,2012,9230
17 and under,All,All,All,JCQ+8,All,2012,9230
17 and under,All,All,All,JCQ,All,2012,9270
17 and under,All,All,All,SQA results day,All,2012,9280
17 and under,All,All,All,JCQ+1,All,2013,9980
17 and under,All,All,All,1 day after SQA results day,All,2013,10010
17 and under,All,All,All,JCQ+2,All,2013,9980
17 and under,All,All,All,JCQ+3,All,2013,9980
17 and under,All,All,All,JCQ+4,All,2013,9970
17 and under,All,All,All,JCQ+5,All,2013,9960
17 and under,All,All,All,JCQ+6,All,2013,9950
17 and under,All,All,All,JCQ+7,All,2013,9940
17 and under,All,All,All,JCQ+8,All,2013,9930
17 and under,All,All,All,JCQ,All,2013,9990
17 and under,All,All,All,SQA results day,All,2013,10010
17 and under,All,All,All,JCQ+1,All,2014,11040
17 and under,All,All,All,1 day after SQA results day,All,2014,11060
17 and under,All,All,All,JCQ+2,All,2014,11040
17 and under,All,All,All,JCQ+3,All,2014,11040
17 and under,All,All,All,JCQ+4,All,2014,11020
17 and under,All,All,All,JCQ+5,All,2014,11010
17 and under,All,All,All,JCQ+6,All,2014,11010
17 and under,All,All,All,JCQ+7,All,2014,11000
17 and under,All,All,All,JCQ+8,All,2014,10990
17 and under,All,All,All,JCQ,All,2014,11040
17 and under,All,All,All,SQA results day,All,2014,11060
17 and under,All,All,All,JCQ+1,All,2015,11490
17 and under,All,All,All,1 day after SQA results day,All,2015,11510
17 and under,All,All,All,JCQ+2,All,2015,11490
17 and under,All,All,All,JCQ+3,All,2015,11480
