_id,objectID,CAP,MUNICIPIO,ID_NIL,NIL,LONG_X_4326,LAT_Y_4326
1,284,20153,7,87,ASSIANO,9.06359331,45.45554534
2,5869,20153,7,63,FIGINO,9.076086088,45.49370415
3,2564,20152,7,55,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA,9.095650251,45.45364664
4,5408,20152,6,53,LORENTEGGIO,9.102171289,45.45024363
5,5409,20152,7,56,FORZE ARMATE,9.101408602,45.45384253
6,5410,20152,7,56,FORZE ARMATE,9.101768783,45.45352565
7,4251,20152,7,56,FORZE ARMATE,9.102457366,45.45510261
8,2565,20152,7,56,FORZE ARMATE,9.117526225,45.45820672
9,44,20148,7,60,STADIO - IPPODROMI,9.122011803,45.4746544
10,49,20148,7,60,STADIO - IPPODROMI,9.128510541,45.48055434
11,12686,20147,7,52,BANDE NERE,9.133141802,45.46608724
12,300,20148,8,66,QT 8,9.135879232,45.48620781
13,3765,20146,6,52,BANDE NERE,9.141906436,45.45323401
14,364,20146,6,52,BANDE NERE,9.142795568,45.45998442
15,367,20148,7,52,BANDE NERE,9.141970406,45.46725899
16,28717,20149,7,57,SAN SIRO,9.144568557,45.47046299
17,3444,20142,6,46,BARONA,9.150577624,45.43220012
18,442,20149,8,58,DE ANGELI - MONTE ROSA,9.151268771,45.47513712
19,2168,20156,8,71,VILLAPIZZONE - CAGNOLA - BOLDINASCO,9.15099507,45.49921743
20,449,20144,6,50,PORTA GENOVA,9.159178116,45.45544251
21,5829,20145,8,59,TRE TORRI,9.156695764,45.47717979
22,2169,20149,8,67,PORTELLO,9.156015756,45.48399678
23,107,20156,8,71,VILLAPIZZONE - CAGNOLA - BOLDINASCO,9.155034751,45.49797441
24,481,20156,8,71,VILLAPIZZONE - CAGNOLA - BOLDINASCO,9.156876995,45.49825829
25,507,20157,9,81,BOVISASCA,9.156759696,45.51470812
26,387,20144,7,51,PORTA MAGENTA,9.1628792,45.46142645
27,1346,20142,5,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA,9.169571844,45.42809888
28,537,20123,1,7,MAGENTA - S. VITTORE,9.168765394,45.46920068
29,2557,20145,1,7,MAGENTA - S. VITTORE,9.167371074,45.47212424
30,508,20161,9,80,AFFORI,9.166810048,45.51715103
31,130,20161,9,80,AFFORI,9.171549111,45.51655031
32,2176,20161,9,83,BRUZZANO,9.170927503,45.52886714
33,15098,20142,5,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA,9.173402513,45.42995287
34,335,20158,9,79,DERGANO,9.172458646,45.50646555
35,539,20142,5,40,RONCHETTO DELLE RANE,9.182328804,45.40120415
36,7884,20154,8,69,SARPI,9.180181793,45.48476283
37,32,20141,5,43,TIBALDI,9.185376068,45.43946309
38,101,20159,9,11,ISOLA,9.187096148,45.4920557
39,478,20159,9,79,DERGANO,9.1856836,45.49769052
40,314,20162,9,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9.190581711,45.51011886
41,4168,20124,9,11,ISOLA,9.192917957,45.48552764
42,4209,20162,9,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9.193987239,45.52005988
43,18,20141,5,38,VIGENTINO - Q.RE FATIMA,9.203953245,45.42477312
44,419,20121,1,3,GIARDINI P.TA VENEZIA,9.20391051,45.47377116
45,357,20125,2,10,STAZIONE CENTRALE - PONTE SEVESO,9.203790657,45.48460778
46,3392,20139,5,36,SCALO ROMANA,9.209196903,45.4385003
47,180,20135,4,26,XXII MARZO,9.209079986,45.45489257
48,532,20129,3,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,9.210866801,45.476701
49,415,20124,3,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,9.209934795,45.48238429
50,7085,20125,9,13,GRECO - SEGNANO,9.208788169,45.5085354
51,330,20162,9,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9.206907071,45.51912845
52,326,20162,9,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9.210132246,45.52823377
53,3416,20139,4,35,LODI - CORVETTO,9.216583822,45.44520527
54,41604,20141,5,85,PARCO DELLE ABBAZIE,9.220138724,45.42716287
55,3438,20137,4,28,UMBRIA - MOLISE - CALVAIRATE,9.220038258,45.45324631
56,173,20137,4,28,UMBRIA - MOLISE - CALVAIRATE,9.220766912,45.45482927
57,7087,20126,2,16,GORLA - PRECOTTO,9.222960062,45.52237832
58,161,20139,4,35,LODI - CORVETTO,9.229797562,45.44300419
59,496,20131,3,20,LORETO - CASORETTO - NOLO,9.23028891,45.49221662
60,157,20133,4,25,CORSICA,9.233359173,45.46793187
61,486,20131,3,22,CITTA' STUDI,9.233232446,45.48577606
62,4227,20128,2,17,ADRIANO,9.236946254,45.51424098
63,487,20134,3,23,LAMBRATE - ORTICA,9.241238907,45.48252241
64,28321,20138,4,30,TALIEDO - MORSENCHIO - Q.RE FORLANINI,9.246293602,45.46146825
65,506,20132,3,18,CIMIANO - ROTTOLE - Q.RE FELTRE,9.244677852,45.50200586
66,544,20128,2,17,ADRIANO,9.248176425,45.51029849
67,344,20138,4,30,TALIEDO - MORSENCHIO - Q.RE FORLANINI,9.251194451,45.44591022
68,345,20138,4,30,TALIEDO - MORSENCHIO - Q.RE FORLANINI,9.254758917,45.44702261
