Video ID,Video title,Video publish date,Average percentage viewed (%),Average view duration,Views,Watch time (hours),Likes,MM Year,MM Week
KlmK588XfDc,Watch Me Viz - #MakeoverMonday 2020 Week 33 - Scottish Digital Companies,17/08/2020,17.35,0:09:07,376,57.168,30,2020,32
uX5cTdPCczI,Watch Me Viz - #MakeoverMonday 2020 Week 34 - Sexual and Reproductive Health,25/08/2020,22.7,0:14:34,182,44.2024,27,2020,34
cdDosWU-Qbk,Watch Me Viz - #MakeoverMonday 2020 Week 35 - Indian Batsmen vs. Left-Arm Pace Bowlers,02/09/2020,17.96,0:10:06,248,41.7512,24,2020,35
6_amPh3nbZ4,Watch Me Viz - #MakeoverMonday 2020 Week 36 - Calories & Sugar in Cereals,08/09/2020,14.38,0:10:07,201,33.9183,17,2020,36
BopXIESGhRE,Watch Me Viz - #MakeoverMonday 2020 Week 37 - Teacher Pay in the UK,15/09/2020,22.68,0:13:27,213,47.7685,15,2020,37
CKYCpK8qpq4,Watch Me Viz - #MakeoverMonday 2020 Week 38 - Pick Up A Book And Read,22/09/2020,13.89,0:14:09,302,71.2574,20,2020,38
7ixfc_j7UQ4,Watch Me Viz - #MakeoverMonday 2020 Week 39 - Child Marriage,29/09/2020,14.33,0:17:16,307,88.3915,27,2020,39
dR5mpiHs-sU,#MakeoverMonday Live - TC20 (Morning Session),05/10/2020,13.33,0:15:13,424,107.5708,25,2020,39
qSNKkRDlbwg,Watch Me Viz - #MakeoverMonday 2020 Week 41 - Data Assets and Data Culture Survey,13/10/2020,22.72,0:14:26,250,60.1806,25,2020,41
sxqmOp7Kf3M,Watch Me Viz - #MakeoverMonday 2020 Week 42 - Health Spending,20/10/2020,7.06,0:06:43,648,72.5469,22,2020,42
KRhQCHS32e8,Watch Me Viz - #MakeoverMonday 2020 Week 43 - Apparel Exports to the US,27/10/2020,17.02,0:15:55,182,48.3087,18,2020,43
62VLpnS0cfo,Watch Me Viz - #MakeoverMonday 2020 Week 44 - The Digital Gender Gap,02/11/2020,12.59,0:08:17,211,29.1682,11,2020,43
hE1-j9pN00Y,Watch Me Viz - #MakeoverMonday 2020 Week 45 - Dedicated Video Game Sales Units,10/11/2020,22.71,0:14:07,174,40.9585,10,2020,45
uJxVKJYLS_o,Watch Me Viz - #MakeoverMonday 2020 Week 46: The Growth of Internet Ad Spend - 2020 vs 2012,17/11/2020,11.54,0:09:32,425,67.544,34,2020,46
Izq5u8I5otw,Watch Me Viz - #MakeoverMonday 2020 Week 47: Why America's Debt Doesn't Stop Growing,25/11/2020,11.21,0:10:06,517,87.0563,23,2020,47
oDvlQwGPcDg,Watch Me Viz - #MakeoverMonday 2020 Week 48 - Operation Fistula's Pilot Program,01/12/2020,15.98,0:14:03,255,59.7127,21,2020,48
f-i0hWdTn58,Watch Me Viz - #MakeoverMonday 2020 Week 49 - Divergent Opinions on American-German Alliance,08/12/2020,15.56,0:10:44,191,34.217,8,2020,49
