Region,Midjourney: (1/1/22 - 2/16/24),Stable Diffusion: (1/1/22 - 2/16/24),DALL E: (1/1/22 - 2/16/24)
California,49%,29%,22%
Washington,43%,32%,25%
Oregon,45%,28%,27%
District of Columbia,47%,25%,28%
Utah,44%,26%,30%
Colorado,49%,24%,27%
Virginia,46%,28%,26%
Hawaii,51%,25%,24%
Vermont,40%,29%,31%
Nevada,47%,27%,26%
New York,47%,26%,27%
Massachusetts,42%,26%,32%
Rhode Island,41%,27%,32%
Arizona,48%,26%,26%
New Jersey,49%,24%,27%
Idaho,40%,29%,31%
Florida,47%,23%,30%
Texas,46%,26%,28%
Georgia,49%,23%,28%
Maine,39%,25%,36%
Alaska,38%,25%,37%
Michigan,42%,24%,34%
Wyoming,46%,25%,29%
Illinois,42%,26%,32%
New Hampshire,36%,31%,33%
North Carolina,46%,23%,31%
Kansas,42%,28%,30%
Montana,42%,26%,32%
Maryland,43%,27%,30%
Pennsylvania,40%,24%,36%
Minnesota,41%,27%,32%
Oklahoma,42%,26%,32%
Connecticut,42%,24%,34%
Ohio,42%,23%,35%
Missouri,40%,27%,33%
New Mexico,39%,28%,33%
Arkansas,42%,26%,32%
Tennessee,44%,25%,31%
Nebraska,39%,26%,35%
Delaware,43%,23%,34%
Iowa,40%,26%,34%
Indiana,38%,27%,35%
Kentucky,38%,26%,36%
Wisconsin,37%,27%,36%
South Carolina,43%,25%,32%
Louisiana,43%,25%,32%
South Dakota,36%,26%,38%
Alabama,41%,26%,33%
North Dakota,36%,26%,38%
West Virginia,34%,28%,38%
Mississippi,44%,27%,29%
