MSA,Metric,Total,Occupied,Vacant
"Abilene, TX",Estimate,"76,313","65,753","10,560"
"Abilene, TX",Margin of Error,"1,033","2,266","2,306"
"Aguadilla-Isabela, PR",Estimate,"150,063","115,856","34,207"
"Aguadilla-Isabela, PR",Margin of Error,"2,253","2,537","2,463"
"Akron, OH",Estimate,"318,589","294,908","23,681"
"Akron, OH",Margin of Error,191,"3,044","3,055"
"Albany, GA",Estimate,"67,617","57,664","9,953"
"Albany, GA",Margin of Error,853,"1,801","1,689"
"Albany-Lebanon, OR",Estimate,"53,520","51,267","2,253"
"Albany-Lebanon, OR",Margin of Error,39,"1,073","1,077"
"Albany-Schenectady-Troy, NY",Estimate,"422,241","379,968","42,273"
"Albany-Schenectady-Troy, NY",Margin of Error,324,"3,618","3,717"
"Albuquerque, NM",Estimate,"402,494","379,471","23,023"
"Albuquerque, NM",Margin of Error,"1,076","2,816","2,766"
"Alexandria, LA",Estimate,"67,735","55,261","12,474"
"Alexandria, LA",Margin of Error,186,"2,088","2,065"
"Allentown-Bethlehem-Easton, PA-NJ",Estimate,"362,101","338,114","23,987"
"Allentown-Bethlehem-Easton, PA-NJ",Margin of Error,360,"3,536","3,523"
"Altoona, PA",Estimate,"55,868","52,260","3,608"
"Altoona, PA",Margin of Error,134,"1,023","1,015"
"Amarillo, TX",Estimate,"115,452","100,975","14,477"
"Amarillo, TX",Margin of Error,764,"2,635","2,523"
"Ames, IA",Estimate,"53,983","50,987","2,996"
"Ames, IA",Margin of Error,172,"1,149","1,130"
"Anchorage, AK",Estimate,"172,049","149,798","22,251"
"Anchorage, AK",Margin of Error,215,"2,419","2,417"
"Ann Arbor, MI",Estimate,"159,289","150,945","8,344"
"Ann Arbor, MI",Margin of Error,237,"1,814","1,803"
"Anniston-Oxford, AL",Estimate,"53,408","45,701","7,707"
"Anniston-Oxford, AL",Margin of Error,87,"1,562","1,573"
"Appleton, WI",Estimate,"103,245","100,640","2,605"
"Appleton, WI",Margin of Error,73,891,904
"Arecibo, PR",Estimate,"84,315","66,631","17,684"
"Arecibo, PR",Margin of Error,"2,004","2,360","1,887"
"Asheville, NC",Estimate,"239,988","190,656","49,332"
"Asheville, NC",Margin of Error,"1,042","3,652","3,669"
"Athens-Clarke County, GA",Estimate,"92,303","85,600","6,703"
"Athens-Clarke County, GA",Margin of Error,"1,048","1,869","1,617"
"Atlanta-Sandy Springs-Alpharetta, GA",Estimate,"2,488,662","2,311,639","177,023"
"Atlanta-Sandy Springs-Alpharetta, GA",Margin of Error,"2,065","7,916","7,577"
