sitdownwee,Every time,Most times,Some times,Rarely,Don't know,Never
Germany,40.02%,21.64%,14.69%,7.83%,5.71%,10.12%
Sweden,21.98%,27.85%,19.29%,12.62%,6.18%,12.08%
Denmark,18.56%,25.17%,20.58%,14.96%,3.52%,17.21%
Canada,15.69%,18.68%,22.73%,19.11%,2.61%,21.19%
Australia,25.38%,14.46%,15.63%,15.90%,1.36%,27.27%
Spain,14.09%,20.24%,22.37%,12.47%,2.70%,28.13%
Italy,12.86%,21.08%,17.88%,14.65%,3.72%,29.82%
France,18.66%,16.06%,18.75%,12.66%,3.42%,30.45%
US,9.75%,12.86%,22.78%,17.00%,6.27%,31.34%
Singapore,5.01%,15.13%,21.05%,22.10%,4.43%,32.28%
Britain,8.94%,14.63%,20.04%,19.23%,4.36%,32.79%
Poland,10.10%,17.07%,16.48%,17.41%,5.47%,33.47%
Mexico,6.19%,14.93%,22.26%,17.98%,2.37%,36.27%
