Country,Estimate?,Rank 2025,Tonnage 2025 (Mt),Rank 2024,Tonnage 2024 (Mt)
China,No,1,1 005.1,1,1 028.9
India,No,2,149.40,2,140.80
Japan,No,3,84.00,3,87.00
United States,No,4,79.50,4,81.40
Russia,No,5,71.00,5,76.00
South Korea,No,6,63.60,6,66.70
Germany,No,7,37.20,7,35.40
Türkiye,No,8,36.90,8,33.70
Brazil,No,9,33.80,9,32.00
Iran,No,10,31.40,10,30.70
Vietnam,No,11,22.00,12,19.20
Italy,No,12,20.00,11,21.10
"Taiwan, China",No,13,19.20,13,19.10
Indonesia,Yes,14,18.00,14,16.80
Mexico,No,15,13.80,15,16.40
Canada,No,16,12.30,16,12.20
Spain,No,17,11.90,17,11.40
France,No,18,10.80,19,10.00
Egypt,No,19,10.70,18,10.40
Saudi Arabia,No,20,9.60,20,9.90
Malaysia,Yes,21,8.80,21,7.50
Ukraine,No,22,7.60,24,6.20
Belgium,No,23,7.10,25,5.90
Austria,No,24,7.10,22,7.10
Poland,No,25,7.10,23,6.40
Netherlands,No,26,6.40,33,4.70
Thailand,No,27,4.90,30,5.00
South Africa,No,28,4.70,31,5.00
Australia,No,29,4.70,28,5.30
Algeria,No,30,4.50,34,4.40
Bangladesh,Yes,31,4.50,29,5.00
Kazakhstan,No,32,4.20,37,3.90
Pakistan,No,33,4.10,27,5.30
Sweden,No,34,4.00,36,4.30
United Kingdom,No,35,4.00,26,5.60
Slovakia,No,36,3.90,35,4.40
Argentina,No,37,3.90,32,4.90
United Arab Emirates,No,38,3.70,39,3.80
Finland,No,39,3.70,38,3.80
Oman,No,40,3.00,41,2.90
Iraq,No,41,3.00,42,2.80
Czechia,No,42,2.50,40,3.40
Belarus,Yes,43,2.30,43,2.30
Portugal,No,44,1.90,44,2.00
Philippines e,Yes,45,1.90,46,1.90
Luxembourg,No,46,1.80,45,1.90
Peru,No,47,1.60,48,1.60
Kenya,Yes,48,1.60,52,1.40
Morocco,No,49,1.40,50,1.40
Serbia,No,50,1.40,49,1.50
Others,No,,23.00,,23.60
