Date,Prime-Age LFPR
"January 1, 1995",83.50%
"February 1, 1995",83.60%
"March 1, 1995",83.50%
"April 1, 1995",83.70%
"May 1, 1995",83.50%
"June 1, 1995",83.30%
"July 1, 1995",83.40%
"August 1, 1995",83.30%
"September 1, 1995",83.50%
"October 1, 1995",83.40%
"November 1, 1995",83.50%
"December 1, 1995",83.40%
"January 1, 1996",83.50%
"February 1, 1996",83.50%
"March 1, 1996",83.50%
"April 1, 1996",83.60%
"May 1, 1996",83.70%
"June 1, 1996",83.60%
"July 1, 1996",83.90%
"August 1, 1996",84.00%
"September 1, 1996",83.90%
"October 1, 1996",84.10%
"November 1, 1996",84.10%
"December 1, 1996",84.10%
"January 1, 1997",84.00%
"February 1, 1997",83.90%
"March 1, 1997",84.00%
"April 1, 1997",84.00%
"May 1, 1997",83.80%
"June 1, 1997",84.10%
"July 1, 1997",84.30%
"August 1, 1997",84.50%
"September 1, 1997",84.30%
"October 1, 1997",84.20%
"November 1, 1997",84.00%
"December 1, 1997",84.10%
"January 1, 1998",84.00%
"February 1, 1998",84.10%
"March 1, 1998",84.20%
"April 1, 1998",83.90%
"May 1, 1998",83.90%
"June 1, 1998",84.00%
"July 1, 1998",84.10%
"August 1, 1998",84.10%
"September 1, 1998",84.20%
"October 1, 1998",84.10%
"November 1, 1998",84.10%
"December 1, 1998",84.20%
"January 1, 1999",84.60%
"February 1, 1999",84.40%
"March 1, 1999",84.00%
"April 1, 1999",84.10%
"May 1, 1999",84.10%
"June 1, 1999",84.10%
"July 1, 1999",83.90%
"August 1, 1999",84.00%
"September 1, 1999",84.00%
"October 1, 1999",84.10%
"November 1, 1999",84.20%
"December 1, 1999",84.00%
"January 1, 2000",84.40%
"February 1, 2000",84.40%
"March 1, 2000",84.30%
"April 1, 2000",84.40%
"May 1, 2000",84.10%
"June 1, 2000",84.10%
"July 1, 2000",83.90%
"August 1, 2000",83.80%
"September 1, 2000",83.70%
"October 1, 2000",83.60%
"November 1, 2000",83.80%
"December 1, 2000",83.90%
"January 1, 2025",84.10%
"February 1, 2025",84.10%
"March 1, 2025",84.10%
"April 1, 2025",83.70%
"May 1, 2025",83.80%
"June 1, 2025",83.60%
"July 1, 2025",83.60%
"August 1, 2025",83.50%
"September 1, 2025",83.50%
"October 1, 2025",83.60%
"November 1, 2025",83.50%
"December 1, 2025",83.70%
"January 2, 2025",83.50%
"February 2, 2025",83.70%
"March 2, 2025",83.50%
"April 2, 2025",83.60%
"May 2, 2025",83.60%
"June 2, 2025",83.20%
"July 2, 2025",83.10%
"August 2, 2025",83.20%
"September 2, 2025",83.30%
"October 2, 2025",83.20%
"November 2, 2025",82.90%
"December 2, 2025",83.10%
"January 3, 2025",82.90%
"February 3, 2025",83.00%
"March 3, 2025",83.10%
"April 3, 2025",83.20%
"May 3, 2025",83.10%
"June 3, 2025",83.30%
"July 3, 2025",83.00%
"August 3, 2025",83.00%
"September 3, 2025",82.80%
"October 3, 2025",82.90%
"November 3, 2025",82.80%
"December 3, 2025",82.80%
"January 4, 2025",82.80%
"February 4, 2025",82.70%
"March 4, 2025",82.80%
"April 4, 2025",82.70%
"May 4, 2025",82.80%
"June 4, 2025",82.90%
"July 4, 2025",83.00%
"August 4, 2025",82.70%
"September 4, 2025",82.70%
"October 4, 2025",82.60%
"November 4, 2025",82.70%
"December 4, 2025",82.60%
"January 5, 2025",82.70%
"February 5, 2025",82.80%
"March 5, 2025",82.60%
"April 5, 2025",82.70%
"May 5, 2025",82.90%
"June 5, 2025",82.60%
"July 5, 2025",82.80%
"August 5, 2025",82.90%
"September 5, 2025",82.90%
"October 5, 2025",82.70%
"November 5, 2025",82.70%
"December 5, 2025",82.70%
"January 6, 2025",82.80%
"February 6, 2025",82.90%
"March 6, 2025",83.00%
"April 6, 2025",82.80%
"May 6, 2025",82.80%
"June 6, 2025",82.80%
"July 6, 2025",83.00%
"August 6, 2025",82.90%
"September 6, 2025",82.90%
"October 6, 2025",82.90%
"November 6, 2025",83.00%
"December 6, 2025",83.10%
"January 7, 2025",83.40%
"February 7, 2025",83.20%
"March 7, 2025",83.20%
"April 7, 2025",83.00%
"May 7, 2025",83.00%
"June 7, 2025",82.90%
"July 7, 2025",82.90%
"August 7, 2025",82.90%
"September 7, 2025",82.80%
"October 7, 2025",82.70%
"November 7, 2025",82.90%
"December 7, 2025",83.10%
"January 8, 2025",83.30%
"February 8, 2025",83.20%
"March 8, 2025",83.30%
"April 8, 2025",83.10%
"May 8, 2025",83.10%
"June 8, 2025",83.10%
"July 8, 2025",83.10%
"August 8, 2025",83.20%
"September 8, 2025",83.10%
"October 8, 2025",83.00%
"November 8, 2025",83.00%
"December 8, 2025",82.80%
"January 9, 2025",82.80%
"February 9, 2025",82.80%
"March 9, 2025",82.60%
"April 9, 2025",82.80%
"May 9, 2025",82.90%
"June 9, 2025",82.90%
"July 9, 2025",82.80%
"August 9, 2025",82.80%
"September 9, 2025",82.50%
"October 9, 2025",82.50%
"November 9, 2025",82.40%
"December 9, 2025",82.00%
"January 10, 2025",82.40%
"February 10, 2025",82.30%
"March 10, 2025",82.40%
"April 10, 2025",82.60%
"May 10, 2025",82.30%
"June 10, 2025",82.20%
"July 10, 2025",81.90%
"August 10, 2025",82.00%
"September 10, 2025",82.00%
