Which New Year's Resolutions,U.S. adult citizens,18- to 29-year-olds,30- to 44-year-olds,45- to 64-year-olds,65 and older
Saving more money,26%,47%,31%,21%,8%
Improving physical health,22%,33%,21%,23%,12%
Exercising more,22%,41%,22%,17%,12%
Being happy,22%,45%,21%,17%,8%
Eating healthier,20%,30%,21%,21%,9%
Losing weight,17%,21%,16%,20%,10%
Improving mental health,17%,26%,23%,16%,4%
Learning something new,15%,33%,11%,14%,3%
Reading more,15%,29%,14%,13%,5%
Improving relationships with friends or family,14%,24%,16%,12%,4%
Spending more time with family,14%,23%,14%,13%,6%
Paying down debts,13%,15%,11%,17%,10%
Focusing on spiritual matters,12%,22%,12%,10%,5%
Traveling,12%,18%,9%,13%,5%
Quitting a bad habit,11%,23%,9%,12%,2%
Pursuing a career goal,11%,32%,12%,4%,1%
Getting a new job,9%,27%,12%,2%,1%
Spending more time with friends,9%,20%,9%,7%,3%
Pursuing a new hobby,8%,16%,8%,7%,2%
Moving,6%,13%,6%,5%,1%
